createur,voie,commanditaire,page_annonceuse,debut_diffusion,plateformes,ad_id,extrait,page_facebook
@antonyclemot,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...Tien Siong & Mélodie Siong @timelo_lart_de_la_pizza_ 🥉 3e prix : Grégoire Touchard & Adeline Viale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@angellopizz,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...Mélodie Siong @timelo_lart_de_la_pizza_ 🥉 3e prix : Grégoire Touchard & Adeline Viale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@schmitt.justin,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...@timelo_lart_de_la_pizza_ 🥉 3e prix : Grégoire Touchard & Adeline Viale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@georgeslescuyer,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,..._la_pizza_ 🥉 3e prix : Grégoire Touchard & Adeline Viale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@williambequin,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...ard & Adeline Viale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@gachet_louis,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...iale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@vernet_kevin,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...touchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@elisa_lescuyer,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...liine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
arnaud,vocabulaire de collaboration,Galbani (Lactalis),Galbani Professionale FR,2026-04-10,facebook | instagram,1479950036819285,...& Cyrille Auffret @gourmelenjerome @langelice_concarneau 🥈 2e prix : Tien Siong & Mélodie Siong @timelo_lart_de_la_pizza_ 🥉 3e prix : Grégoire Touchard & Adeline Viale @gregoiretouchard @aadeliine01  - Jury Présidé par @arnaud.faye et Ciro Panella (@pizzeria_alfornello) Jury technique : @antonyclemot @angellopizz @schmitt.justin @georgeslescuyer  Jury dégustation : @williambequin @gachet_louis @vernet_kevin @elisa_lescuyer  À (re)vivre en vidéo.  #PizzaADue #GalbaniProfessionale,https://www.facebook.com/959969724161169
@snackshowparis,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-03-26,instagram,2002768726985682,"📣 Galbani Professionale sera présent au @snackshowparis  les 1er et 2 avril. Deux jours pour rencontrer les professionnels du snacking, échanger avec nos équipes et découvrir nos produits en application, en conditions réelles.  Au programme également, un temps fort : la finale du concours Pizza a Due le 2 avril, qui célèbre cette année ses 10 ans. Dix ans de",https://www.facebook.com/959969724161169
@arnaud.faye,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-03-26,instagram,2002768726985682,"...ogramme également, un temps fort : la finale du concours Pizza a Due le 2 avril, qui célèbre cette année ses 10 ans. Dix ans de créativité, de technicité et de passion autour de la pizza avec deux présidents du concours @arnaud.faye et Ciro Panella (@pizzeria_alfornello)  📍Rendez-vous au Stand E060 Hall 7.2 pour partager ce moment avec nous !  #GalbaniProfessionale #SnackShow #PizzaADue #ProfessionnelsDuSnacking Galbani Professionale FR (@galbaniprofessionalefr) • Instagram photos and videos",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-03-26,instagram,2002768726985682,"...rt : la finale du concours Pizza a Due le 2 avril, qui célèbre cette année ses 10 ans. Dix ans de créativité, de technicité et de passion autour de la pizza avec deux présidents du concours @arnaud.faye et Ciro Panella (@pizzeria_alfornello)  📍Rendez-vous au Stand E060 Hall 7.2 pour partager ce moment avec nous !  #GalbaniProfessionale #SnackShow #PizzaADue #ProfessionnelsDuSnacking Galbani Professionale FR (@galbaniprofessionalefr) • Instagram photos and videos",https://www.facebook.com/959969724161169
deux,vocabulaire de collaboration,Galbani (Lactalis),Galbani Professionale FR,2026-03-26,instagram,2002768726985682,"...n conditions réelles.  Au programme également, un temps fort : la finale du concours Pizza a Due le 2 avril, qui célèbre cette année ses 10 ans. Dix ans de créativité, de technicité et de passion autour de la pizza avec deux présidents du concours @arnaud.faye et Ciro Panella (@pizzeria_alfornello)  📍Rendez-vous au Stand E060 Hall 7.2 pour partager ce moment avec nous !  #GalbaniProfessionale #SnackShow #PizzaADue #ProfessionnelsDuSnacking Galbani Professionale FR (@galbaniprofessionalefr) • Instagram photos and videos",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-03-04,instagram,2384869502012166,"Dernier épisode de la série Conseils de notre ambassadeur. Ciro Panella (@pizzeria_alfornello) aborde un sujet essentiel : choisir le bon modèle d’activité.   Sur place, en camion, à emporter ou via distributeur automatique… chaque format a ses atouts et ses exigences. Tout dépend du territoire, du public et des ambitions du professionnel.   Avec @galbaniprofessionalefr, Ciro accompagne les",https://www.facebook.com/959969724161169
@vittoriobeltramelli_chef,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-02-04,facebook | instagram | audience_network | threads,851609574500942,"Coup de foudre 💘 Pour la Saint-Valentin, notre ambassadeur @vittoriobeltramelli_chef imagine un dessert pensé comme une véritable expérience à partager à deux. Un risotto sucré au Mascarpone Galbani Professionale, à la texture délicatement onctueuse, conçu pour se déguster à deux cuillères.  Sur le dessus, deux gelées se répondent, orange d’un côté, hibiscus de l’autre. Une to",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2026-01-28,instagram,907956911751422,"Troisième épisode des Conseils de notre ambassadeur : concevoir la carte.   Ciro Panella (@pizzeria_alfornello) partage ses astuces pour créer une offre cohérente selon son activité : sur place, à emporter ou en livraison. Trouver sa signature, équilibrer les recettes, adapter ses produits aux attentes locales, autant de choix stratégiques pour se démarquer.   Comme Galbani Professionale, Ciro prône une cui",https://www.facebook.com/959969724161169
celles,vocabulaire de collaboration,Galbani (Lactalis),Galbani Professionale FR,2026-01-06,instagram,895156569637774,"2025 touche à sa fin. Une année faite de rencontres, d’échanges, de confiance partagée. Merci à celles et ceux qui, chaque jour, font vivre nos produits dans leurs cuisines, leurs pizzerias, leurs établissements. Merci pour la fidélité et les projets menés ensemble. Cap sur 2026, toujours à vos côtés, au service du goût et du métier. Bonne année à tous !  #GalbaniProfessionale #BonneAnnee",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-26,facebook | instagram | audience_network | threads,1426929955491975,"À l’approche des fêtes, la pizza se fait gastronomique. Ciro Panella (@pizzeria_alfornello) et @arnaud.faye signent une création d’exception et de saison autour de la courge et de la Saint-Jacques. Cette création incarne l’esprit du Championnat de France Pizza a Due : l’audace, la maîtrise et la rencontre entre deux métiers. Chef et pizzaiolo, à vous d’écrire la suite et de défendre votr",https://www.facebook.com/959969724161169
@arnaud.faye,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-26,facebook | instagram | audience_network | threads,1426929955491975,"À l’approche des fêtes, la pizza se fait gastronomique. Ciro Panella (@pizzeria_alfornello) et @arnaud.faye signent une création d’exception et de saison autour de la courge et de la Saint-Jacques. Cette création incarne l’esprit du Championnat de France Pizza a Due : l’audace, la maîtrise et la rencontre entre deux métiers. Chef et pizzaiolo, à vous d’écrire la suite et de défendre votre signature lors de la 10",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-23,instagram,1741836036483301,"La pâte n’est pas un simple support. Pour Ciro Panella (@pizzeria_alfornello), pizzaïolo et Président du Championnat de France Pizza a Due 2026, elle est le point de départ de toute création.  Il attend des finalistes une pâte qui a du goût, une vraie signature, un travail maîtrisé de fermentation, de texture et de cuisson. Au-delà de la technique, Ciro recherche une vision",https://www.facebook.com/959969724161169
@chef_vittoriobeltramelli,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-17,instagram,854779507466631,"Deux chefs. Une pizza. À l’occasion du lancement de la mozzarella di Bufala Campana DOP Galbani Professionale, nos deux ambassadeurs, Vittorio Beltramelli (@chef_vittoriobeltramelli) et Ciro Panella (@pizzeria_alfornello), unissent leur savoir-faire autour d’une recette emblématique : la Pizza Marinara alla Bufala Campana DOP. Une création où la mozzarella est mise au premier plan, ajoutée à cru pour révéler toute la richesse de ses saveurs et sa texture fondante.  À déco",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-17,instagram,854779507466631,"Deux chefs. Une pizza. À l’occasion du lancement de la mozzarella di Bufala Campana DOP Galbani Professionale, nos deux ambassadeurs, Vittorio Beltramelli (@chef_vittoriobeltramelli) et Ciro Panella (@pizzeria_alfornello), unissent leur savoir-faire autour d’une recette emblématique : la Pizza Marinara alla Bufala Campana DOP. Une création où la mozzarella est mise au premier plan, ajoutée à cru pour révéler toute la richesse de ses saveurs et sa texture fondante.  À découvrir en vidéo : gestes, justesse, maîtrise…",https://www.facebook.com/959969724161169
@arnaud.faye,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-17,instagram,2052559158854362,"Une 10ᵉ édition sous le signe de l’exigence et de la créativité. En tant que Président du jury, @arnaud.faye , Meilleur Ouvrier de France et Chef Exécutif du Bristol Paris, partage ce qu’il attend des duos qui s’apprêtent à monter sur la scène du Championnat de France Pizza a Due. Une pizza qui surprenne, mais jamais au détriment du goût. Un respect total du produit, de la saison, de la précision du geste. Finali",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-15,instagram,1518831555903076,"Deuxième épisode des Conseils de notre ambassadeur. Cette fois, Ciro Panella (@pizzeria_alfornello) parle produits, le cœur de toute pizzeria.   Trouver le bon fournisseur, c’est garantir la régularité, la qualité et l’identité de sa cuisine. Exemple avec la pizza Margherita, où la mozzarella joue un rôle essentiel dans l’équilibre du goût et de la texture.   Des valeurs partagées par Galbani Pr",https://www.facebook.com/959969724161169
@ciro_panella,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-01,facebook | instagram,858094537162560,"Pour la première fois, notre ambassadeur @ciro_panella @pizzeria_alfornello partage son expérience et ses conseils à tous ceux qui souhaitent se lancer dans l’aventure de la pizzeria. ‌ Premier point clé : le choix du local. Emplacement, accessibilité, stationnement, équipements… autant de détails essentiels pour assurer le succès dès l’ouverture. ‌ Avec @gal",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-12-01,facebook | instagram,858094537162560,"Pour la première fois, notre ambassadeur @ciro_panella @pizzeria_alfornello partage son expérience et ses conseils à tous ceux qui souhaitent se lancer dans l’aventure de la pizzeria. ‌ Premier point clé : le choix du local. Emplacement, accessibilité, stationnement, équipements… autant de détails essentiels pour assurer le succès dès l’ouverture. ‌ Avec @galbaniprofession",https://www.facebook.com/959969724161169
@arnaud.faye,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-11-19,instagram,4136170433365208,"Dos à dos : Cette fois, @arnaud.faye interroge Ciro Panella @pizzeria_alfornello sur son attachement au concours. Pour Ciro, la réponse est évidente : « Ce concours me tient à cœur. Cela fait 10 ans que je le préside, et c’est un honneur pour moi. » Des mots à l’image d’un président passionné, fidèle depuis la première édition et toujours ani",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-11-19,instagram,4136170433365208,"Dos à dos : Cette fois, @arnaud.faye interroge Ciro Panella @pizzeria_alfornello sur son attachement au concours. Pour Ciro, la réponse est évidente : « Ce concours me tient à cœur. Cela fait 10 ans que je le préside, et c’est un honneur pour moi. » Des mots à l’image d’un président passionné, fidèle depuis la première édition et toujours animé par la même envie : faire rayonne",https://www.facebook.com/959969724161169
@arnaud.faye,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-11-12,instagram,2070762236995526,"Dos à dos, deux présidents, deux univers, une même passion. Pour cette 10ᵉ édition du concours Pizza a Due, @arnaud.faye et @ciro_panella se lancent dans un face-à-face complice autour de leur vision du métier. Pourquoi avoir accepté de devenir président ? « Par passion pour la pizza et ce beau métier de pizzaiolo. » Des confidences et beaucoup de passion...  🎥 À découvrir en vidéo dans notre série Dos à dos.  #GalbaniProfes",https://www.facebook.com/959969724161169
@ciro_panella,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-11-12,instagram,2070762236995526,"Dos à dos, deux présidents, deux univers, une même passion. Pour cette 10ᵉ édition du concours Pizza a Due, @arnaud.faye et @ciro_panella se lancent dans un face-à-face complice autour de leur vision du métier. Pourquoi avoir accepté de devenir président ? « Par passion pour la pizza et ce beau métier de pizzaiolo. » Des confidences et beaucoup de passion...  🎥 À découvrir en vidéo dans notre série Dos à dos.  #GalbaniProfessionale #PizzaAD",https://www.facebook.com/959969724161169
@ciro_panella,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-11-03,instagram,2026018168348915,"...ance Pizza a Due revient en 2026 pour une édition anniversaire exceptionnelle ! Cette année, deux figures d’excellence président cette 10e édition : 🇮🇹 Ciro Panella, Chef Pizzaïolo Al Fornello à Lille, Maître formateur, @ciro_panella  🇫🇷 Arnaud Faye, Meilleur Ouvrier de France et Chef Exécutif du Bristol Paris. @arnaud.faye   Chef et pizzaiolo, unissez vos talents pour créer une pizza d’exception ! Les gagnants du Championnat de France Pizza a Due pourront ensuite représenter la France lors du Championnat du Monde de la Pizza à Parme.",https://www.facebook.com/959969724161169
@arnaud.faye,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-11-03,instagram,2026018168348915,"...deux figures d’excellence président cette 10e édition : 🇮🇹 Ciro Panella, Chef Pizzaïolo Al Fornello à Lille, Maître formateur, @ciro_panella  🇫🇷 Arnaud Faye, Meilleur Ouvrier de France et Chef Exécutif du Bristol Paris. @arnaud.faye   Chef et pizzaiolo, unissez vos talents pour créer une pizza d’exception ! Les gagnants du Championnat de France Pizza a Due pourront ensuite représenter la France lors du Championnat du Monde de la Pizza à Parme.  Rendez-vous au Salon Parizza pour vivre la grande finale, le 2 avril 2026. Les inscriptions",https://www.facebook.com/959969724161169
@ciro_panella,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-10-20,instagram,2209928352751189,"...dilatte Galbani Professionale. Fondue, onctueuse et toujours blanche après cuisson.  En bas : une focaccia moelleuse et croustillante, sublimée par la mozzarella di Bufala DOP Galbani Professionale.  La démonstration de @ciro_panella illustre parfaitement l’idée : à chaque recette italienne, sa mozzarella.  @pizzeria_alfornello #GalbaniProfessionale #CiroPanella #MozarellaDiBufala #FourAPizza",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-10-20,instagram,2209928352751189,"...as : une focaccia moelleuse et croustillante, sublimée par la mozzarella di Bufala DOP Galbani Professionale.  La démonstration de @ciro_panella illustre parfaitement l’idée : à chaque recette italienne, sa mozzarella.  @pizzeria_alfornello #GalbaniProfessionale #CiroPanella #MozarellaDiBufala #FourAPizza",https://www.facebook.com/959969724161169
@ciro_panella,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-10-14,instagram,1548307392994839,"@ciro_panella signe une recette de tradition italienne : la Pinsa Rustica. Dessus, une aubergine façon parmigiana, coupée en fines lamelles et grillées. La réduction d’un ragoût de bœuf à la bolognaise mijoté pendant 7 heures vient terminer cette généreuse recette.   Pour apporter encore plus d’onctuosité, le fromage a",https://www.facebook.com/959969724161169
@pizzeria_alfornello,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-10-14,instagram,1548307392994839,"...bouchée. Une création qui célèbre authenticité, générosité et tradition italienne. Une recette à retrouver sur notre site internet (lien en bio)  #GalbaniProfessionale #CiroPanella #RecettePinsa #Mozzarella #Fiordilatte @pizzeria_alfornello",https://www.facebook.com/959969724161169
@ciro_panella,pseudo ecrit tel quel,Galbani (Lactalis),Galbani Professionale FR,2025-09-29,instagram,1357774395974951,"30 ans de savoir-faire célébrés à Pontivy avec la visite de Ciro Panella, ambassadeur Galbani Professionale. @ciro_panella   Dans cette fromagerie sont élaborés les fromages à pizza qui accompagnent chaque jour pizzaiolos et restaurateurs.  Des produits authentiques, pensés pour répondre aux exigences des professionnels, que ce soit au four à bois, au four à gaz ou en distributeur automatique. Un engagement constant : offrir",https://www.facebook.com/959969724161169
nature,vocabulaire de collaboration,Activia (Danone),Activia,2026-08-07,instagram,1581442123771879,"83% des acheteurs de yaourts nature trouvent qu’Activia Kefir a une texture agréable et veloutée. ¹ ²  Et si c’était l’ingrédient qui te manque à ta boisson de l’été ? ☀️   Essaye notre smoothie éclat, aussi beau que bon !✨ Avec Activia Kéfir, une association unique de 16 ferments actifs³ dont de véritables levures de kéfir, et toujours avec les p",https://www.facebook.com/61943111985
nature,vocabulaire de collaboration,Activia (Danone),Activia,2026-08-04,instagram,1364269638478572,"83% des acheteurs de yaourts nature trouvent qu’Activia Kefir a une texture agréable et veloutée. ¹ ²  Et si c’était l’ingrédient qui te manque à ta boisson de l’été ? ☀️   Essaye notre smoothie éclat, aussi beau que bon !✨ Avec Activia Kéfir, une association unique de 16 ferments actifs³ dont de véritables levures de kéfir, et toujours avec les p",https://www.facebook.com/61943111985
@lefiltre.media,pseudo ecrit tel quel,Activia (Danone),Activia,2026-07-16,instagram,1536740308233195,"Le microbiote, ça vous parle ? 👀 On a testé vos connaissances au Women Health Summit de @lefiltre.media… et spoiler : vous nous avez bluffés !​  Le microbiote intestinal est l’ensemble des micro‑organismes vivants, principalement des bactéries, qui sont naturellement présents dans notre intestin et interagissent entre eux ainsi qu’avec notre organisme.",https://www.facebook.com/61943111985
@lefiltre.media,pseudo ecrit tel quel,Activia (Danone),Activia,2026-07-16,instagram,2432357100605738,"Après le microbiote, place aux probiotiques 👀​ Sait-on vraiment à quoi ils servent ?​  Au Women Health Summit de @lefiltre.media, on est allés à votre rencontre pour en discuter 💬​  Les probiotiques sont des micro‑organismes vivants qui, consommés en quantité suffisante, confèrent un bénéfice santé (Source : Rapport FAO/OMS, 2001). Ils peuvent ainsi contribuer à l’équilibre de la flore intestinale.",https://www.facebook.com/61943111985
@lefiltre.media,pseudo ecrit tel quel,Activia (Danone),Activia,2026-06-30,instagram,1678305193422910,"Le microbiote, ça vous parle ? 👀 On a testé vos connaissances au Women Health Summit de @lefiltre.media… et spoiler : vous nous avez bluffés !​  Le microbiote intestinal est l’ensemble des micro‑organismes vivants, principalement des bactéries, qui sont naturellement présents dans notre intestin et interagissent entre eux ainsi qu’avec notre organisme.",https://www.facebook.com/61943111985
@lefiltre.media,pseudo ecrit tel quel,Activia (Danone),Activia,2026-06-30,instagram,1476851530796494,"Après le microbiote, place aux probiotiques 👀​ Sait-on vraiment à quoi ils servent ?​  Au Women Health Summit de @lefiltre.media, on est allés à votre rencontre pour en discuter 💬​  Les probiotiques sont des micro‑organismes vivants qui, consommés en quantité suffisante, confèrent un bénéfice santé (Source : Rapport FAO/OMS, 2001). Ils peuvent ainsi contribuer à l’équilibre de la flore intestinale.",https://www.facebook.com/61943111985
Danonino,compte connu du registre,Danonino (Danone),Danonino,2026-07-30,instagram | threads,1035575399065995,"Les parents, on vous a entendus ! Fini les négociations avec vos enfants qui ne veulent plus manger QUE les Danoninos avec un opercule Bluey, on a trouvé une solution !  20 boxs Danonino x Bluey remplies de surprises sont prêtes, et vous pouvez les gagner !  Comment participer ? ✅ Vous abonner à notre compte  💬Nous raconter en commentaire votre meilleure (ou pire 😅) anecdote avec les Danoninos Bluey.  📅 Pendant 10 jours ouvr",https://www.facebook.com/432678180267928
téléphone,vocabulaire de collaboration,Gervais (Danone),Le Saint-Gervais Hôtel & Spa Handwritten Collection,2025-08-19,facebook | instagram,1471770160633836,"🍽️ Le restaurant AVANTI à Saint-Gervais Mont-Blanc vous offre une carte gourmande aux saveurs italiennes. Ouvert à tous 7j/7, midi et soir. 👉 Réservation en ligne ou par téléphone : 04 86 80 74 71 Restaurant AVANTI",https://www.facebook.com/110456338628886
@lesaintgervais.com,pseudo ecrit tel quel,Gervais (Danone),Le Saint-Gervais Hôtel & Spa Handwritten Collection,2025-08-15,facebook | instagram | audience_network,1083692090572190,"...T-GERVAIS] 💅 Offrez à vos ongles l’élégance du semi-permanent ✨ Et profitez d’un accès au Spa de 2h OFFERT pour toute réservation avec le code ""NAILS"" Réservation en ligne : www.lesaintgervais.com ☎️ 04 86 80 74 70 📩 Spa@lesaintgervais.com Instagram : coco.papillon by Carolina 💅 Spa Le Saint Gervais",https://www.facebook.com/110456338628886
@hotel_lesaintgervais,pseudo ecrit tel quel,Gervais (Danone),Le Saint-Gervais Hôtel & Spa Handwritten Collection,2025-08-05,instagram,1823765721906096,Le Saint Gervais Hôtel & Spa Handwritten Collection (@hotel_lesaintgervais) • Instagram photos and videos,https://www.facebook.com/110456338628886
@khzs_,pseudo ecrit tel quel,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2026-03-29,instagram,1745303496438974,"...uste du travail, du soutien et de l’énergie 💪  🔥 CrossTraining 🔥 Tonification 🔥 Brûle-graisses 🔥 Confiance en soi  ⚠️ Places limitées 📲 Inscription obligatoire sur l’application On Air  Vendredi midi, c’est TON moment 👑 @khzs_   #GirlCamp #FitnessFemme #WomenEmpowerment #OnAirFitness #CrossTraining",https://www.facebook.com/566623209866592
@ldckprod,pseudo ecrit tel quel,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2026-03-29,instagram,1268266192086873,...⏰ 18h45 – 20h  Envie de te défouler ? De transpirer pour de vrai ? De te challenger ?  🔥 Cardio 🔥 Technique 🔥 Mental  ⚠️ Places limitées 📲 Inscription obligatoire sur l’application On Air  On se retrouve sur le ring 💪  @ldckprod @addictsport15_coach_sportif   #BoxeAnglaise #BoxingTraining #FitnessMotivation #OnAirFitness #CoursCollectif,https://www.facebook.com/566623209866592
@addictsport15_coach_sportif,pseudo ecrit tel quel,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2026-03-29,instagram,1268266192086873,...20h  Envie de te défouler ? De transpirer pour de vrai ? De te challenger ?  🔥 Cardio 🔥 Technique 🔥 Mental  ⚠️ Places limitées 📲 Inscription obligatoire sur l’application On Air  On se retrouve sur le ring 💪  @ldckprod @addictsport15_coach_sportif   #BoxeAnglaise #BoxingTraining #FitnessMotivation #OnAirFitness #CoursCollectif,https://www.facebook.com/566623209866592
toi-même,vocabulaire de collaboration,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2026-03-13,instagram,949237877618134,...ert tous les jours de 6h à 23h  Que ton objectif soit : 💪 prendre du muscle 🔥 perdre du poids ⚡ te remettre en forme  Tu trouveras ici l’espace et l’ambiance pour te dépasser.  📍 Passe nous voir et découvre la salle par toi-même.  #onairfitness#fitnessfrance#salledeport #musculation#parisfitness,https://www.facebook.com/566623209866592
@onairfitness_leprestgervais,pseudo ecrit tel quel,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2025-10-18,instagram,2677687485912679,On Air Fitness Pré-St-Gervais (@onairfitness_leprestgervais) • Instagram photos and videos | On Air Fitness Pré-St-Gervais (@onairfitness_leprestgervais) • Instagram photos and videos,https://www.facebook.com/566623209866592
cafés,vocabulaire de collaboration,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2025-08-31,facebook | instagram | audience_network | messenger | threads,669782386136279,"...le sport. Tu l’apprécies.  🥊 Boxe 🔥 Cross training 🚴 Cardio dernière génération 💪 Musculation guidée & charges libres 🧘 Zone abdos 👑 Espace femme  Et après l’effort ? Détends-toi au On Air Café, un espace exclusif avec cafés de qualité & snacks équilibrés ☕  📍17 Rue d’Estienne d’Orves – Le Pré-Saint-Gervais Offre de rentrée : les frais d'inscription sont GRATUITS 😍 (offre valable jusqu'au 8 septembre inclus)  De quoi faire une rentrée en forme ! Tu profites de :  Un lieu stylé, moderne, spacieux, où tu prends plaisir à bouger. Tu var",https://www.facebook.com/566623209866592
cafés,vocabulaire de collaboration,Gervais (Danone),On Air Fitness Le pré Saint Gervais,2025-08-27,facebook | instagram | audience_network | messenger | threads,1543793943255299,"...le sport. Tu l’apprécies.  🥊 Boxe 🔥 Cross training 🚴 Cardio dernière génération 💪 Musculation guidée & charges libres 🧘 Zone abdos 👑 Espace femme  Et après l’effort ? Détends-toi au On Air Café, un espace exclusif avec cafés de qualité & snacks équilibrés ☕  📍17 Rue d’Estienne d’Orves – Le Pré-Saint-Gervais 🔥 Frais d’inscription GRATUITS",https://www.facebook.com/566623209866592
