createur,commanditaires,nombre_de_canaux,canaux,premiere_trace,derniere_trace,attestations
Sosa Ingredients,CNIEL,1,description,2020-03-20,2021-02-24,[description] ¿Cómo elaborar cremas congelables y estables en frío / caliente? GELCR
Still Fresh,CNIEL,1,site du lobby,,,[site du lobby] Check Food
Studio Danielle,CNIEL,1,description,2019-10-09,2023-02-15,[description] LE TOUR DE LA GRATTE À MARSEILLE
Tarte aux 🧚‍♂️,Régilait | Soignon,1,publicite payee,2026-04-14,2026-06-03,"[publicite payee] Une tarte aux fraises sans cuisson 🍓 Une base croustillante, une crème"
TasteFrance Magazine,INTERBEV,1,description,2021-11-04,2021-11-04,[description] MEAT AND CHEESE LOVERS:  The Unexpected French Tour | Food Tradition
The Best🥇 أستغفر الله,CNIEL,1,chaine du lobby,2025-12-07,2025-12-07,"[chaine du lobby] PETIT CAFÉ BRIOCHE 2 AVEC MISTER V, AMINE, CÉDRIC DOUMBÉ, GOLO & RITCH"
Thedailysaby,Soignon,1,publicite payee,2026-01-09,2026-01-09,"[publicite payee] En 2025, vous avez mis le chèvre à l’honneur… et nos papilles s’en sou"
Théo Juice,CNIEL,1,chaine du lobby,2018-11-23,2018-11-23,[chaine du lobby] Les Produits Laitiers sont nos amis pour la vie - Mister V
Toscane Lucas,INTERBEV,1,description,2025-06-09,2025-06-09,[description] Babe veut des tacos 🌮🇲🇽🪅 Yessss chef ! @Andy Cooks  Musique : Mexico C
Valouzz,INTERBEV,1,description,2024-03-20,2024-03-20,[description] Je mange comme mon perso pendant 15 jours ! (dans quoi je m'embarque)
Viande Suisse,CNIEL,1,description,2024-11-04,2024-11-04,[description] C'est l'élevage de chèvres en Valais
Virginie,Socopa,1,publicite payee,2025-09-18,2025-09-18,"[publicite payee] JEU CONCOURS - Burger gourmand aux champignons, viande de grison et br"
Volailles Fermières des Landes,ANVOL,1,description,2021-06-30,2021-06-30,[description] Bernard TAUZIA - Président de l'Association des Volailles Fermières de
Youssoupha,CNIEL,1,site du lobby,,,[site du lobby] Check Food
yummyfood 🦋,Tendriade,1,publicite payee,2025-10-23,2025-12-08,[publicite payee] Spoiler : on n’en a trouvé aucune 😅  #tendriade #viande #viandedeveau 
• Tiphaine • 🥣🍷🍪📷,INTERBEV,1,chaine du lobby,2014-12-19,2014-12-19,[chaine du lobby] Entretien avec Tiphaine du blog Gourmandiseries
✿ 𝑨𝒍𝒆𝒙𝒂𝒏𝒅𝒓𝒂 ✿,CNIEL,1,chaine du lobby,2019-03-06,2021-07-04,[chaine du lobby] MISTER V - LES COPAINS AU LAIT - EP.3 LE SKA
